Run,my_stage,Organism,project
SRR5343306,larva,Acropora millepora,PRJNA379147
SRR5343307,larva,Acropora millepora,PRJNA379147
SRR5343316,larva,Acropora millepora,PRJNA379147
SRR5343317,larva,Acropora millepora,PRJNA379147
SRR5343326,larva,Acropora millepora,PRJNA379147
SRR5343327,larva,Acropora millepora,PRJNA379147
SRR5362796,adult,Acropora hyacinthus,PRJNA379450
SRR5362797,adult,Acropora hyacinthus,PRJNA379450
SRR5362806,adult,Acropora hyacinthus,PRJNA379450
SRR5362807,adult,Acropora hyacinthus,PRJNA379450
SRR5362816,adult,Acropora hyacinthus,PRJNA379450
SRR5362817,adult,Acropora hyacinthus,PRJNA379450
SRR5362826,adult,Acropora hyacinthus,PRJNA379450
SRR5362827,adult,Acropora hyacinthus,PRJNA379450
SRR5367056,recruit,Acropora gemmifera,PRJNA380146
SRR5367057,recruit,Acropora gemmifera,PRJNA380146
SRR5367066,recruit,Acropora gemmifera,PRJNA380146
SRR5367067,recruit,Acropora gemmifera,PRJNA380146
SRR5374536,adult,Acropora millepora,PRJNA380267
SRR5374537,adult,Acropora millepora,PRJNA380267
SRR5374546,adult,Acropora millepora,PRJNA380267
SRR5374547,recruit,Acropora millepora,PRJNA380267
SRR5374556,recruit,Acropora millepora,PRJNA380267
SRR5374557,recruit,Acropora millepora,PRJNA380267
SRR5374566,recruit,Acropora millepora,PRJNA380267
SRR5374567,recruit,Acropora millepora,PRJNA380267
SRR5569436,adult,Acropora palmata,PRJNA386795
SRR5569437,adult,Acropora palmata,PRJNA386795
SRR5569446,adult,Acropora palmata,PRJNA386795
SRR5569447,adult,Acropora palmata,PRJNA386795
SRR5934176,larva,Acropora digitifera,PRJNA398338
SRR5934177,larva,Acropora digitifera,PRJNA398338
SRR5934186,larva,Acropora digitifera,PRJNA398338
SRR5934187,larva,Acropora digitifera,PRJNA398338
SRR6064906,adult,Acropora hyacinthus,PRJNA411943
SRR6064907,adult,Acropora hyacinthus,PRJNA411943
SRR6064916,adult,Acropora hyacinthus,PRJNA411943
SRR6064917,adult,Acropora hyacinthus,PRJNA411943
SRR6064926,adult,Acropora hyacinthus,PRJNA411943
SRR6064927,adult,Acropora hyacinthus,PRJNA411943
SRR629096,adult,Acropora hyacinthus,PRJNA177515
SRR629126,adult,Acropora hyacinthus,PRJNA177515
SRR629127,adult,Acropora hyacinthus,PRJNA177515
SRR629136,adult,Acropora hyacinthus,PRJNA177515
SRR629156,adult,Acropora hyacinthus,PRJNA177515
SRR629157,adult,Acropora hyacinthus,PRJNA177515
SRR6396376,adult,Acropora cervicornis,PRJNA423227
SRR6396377,adult,Acropora cervicornis,PRJNA423227
SRR7347326,adult,Acropora tenuis,PRJNA476311
SRR7347327,adult,Acropora tenuis,PRJNA476311
SRR7347336,adult,Acropora tenuis,PRJNA476311
SRR7347337,adult,Acropora tenuis,PRJNA476311
SRR7347346,adult,Acropora tenuis,PRJNA476311
SRR7347347,adult,Acropora tenuis,PRJNA476311
SRR7347356,adult,Acropora tenuis,PRJNA476311
SRR7347357,adult,Acropora tenuis,PRJNA476311
SRR835876,adult,Acropora millepora,PRJNA200542
SRR835877,adult,Acropora millepora,PRJNA200542
SRR835886,adult,Acropora millepora,PRJNA200542
SRR835887,adult,Acropora millepora,PRJNA200542
SRR835896,adult,Acropora millepora,PRJNA200542
DRR024468,adult,Acropora digitifera,PRJDB3244
DRR024469,embryo,Acropora digitifera,PRJDB3244
DRR024478,embryo,Acropora digitifera,PRJDB3244
DRR024479,embryo,Acropora digitifera,PRJDB3244
DRR108018,adult,Acropora digitifera,PRJDB6468
DRR108019,adult,Acropora digitifera,PRJDB6468
DRR119958,recruit,Acropora tenuis,PRJDB4715
DRR119959,recruit,Acropora tenuis,PRJDB4715
s101_S138,adult,Acropora millepora,This study
s102_S139,adult,Acropora millepora,This study
s10_S48,adult,Acropora millepora,This study
s113_S148,adult,Acropora millepora,This study
s114_S149,adult,Acropora millepora,This study
s11_S49,adult,Acropora millepora,This study
s123_S158,adult,Acropora millepora,This study
s125_S159,adult,Acropora millepora,This study
s134_S168,adult,Acropora millepora,This study
s135_S169,adult,Acropora millepora,This study
s144_S178,adult,Acropora millepora,This study
s145_S179,adult,Acropora millepora,This study
s154_S188,adult,Acropora millepora,This study
s155_S189,adult,Acropora millepora,This study
s164_S198,adult,Acropora millepora,This study
s165_S199,adult,Acropora millepora,This study
s176_S208,adult,Acropora millepora,This study
s177_S209,adult,Acropora millepora,This study
s1_S39,adult,Acropora millepora,This study
s20_S58,adult,Acropora millepora,This study
s21_S59,adult,Acropora millepora,This study
s30_S68,adult,Acropora millepora,This study
s31_S69,adult,Acropora millepora,This study
s42_S79,adult,Acropora millepora,This study
s51_S88,adult,Acropora millepora,This study
s52_S89,adult,Acropora millepora,This study
s61_S98,adult,Acropora millepora,This study
s62_S99,adult,Acropora millepora,This study
s71_S108,adult,Acropora millepora,This study
s72_S109,adult,Acropora millepora,This study
s81_S118,adult,Acropora millepora,This study
s82_S119,adult,Acropora millepora,This study
s91_S128,adult,Acropora millepora,This study
s92_S129,adult,Acropora millepora,This study
SRR1015298,adult,Acropora cervicornis,PRJNA222758
SRR1015349,adult,Acropora cervicornis,PRJNA222758
SRR1015358,adult,Acropora cervicornis,PRJNA222758
SRR1206128,adult,Acropora hyacinthus complex sp. E JTL-2012,PRJNA242821
SRR1206129,adult,Acropora hyacinthus complex sp. E JTL-2012,PRJNA242821
SRR1566168,recruit,Acropora millepora,PRJNA260269
SRR1566169,recruit,Acropora millepora,PRJNA260269
SRR1653608,adult,Acropora aspera,PRJNA266455
SRR1703718,adult,Acropora millepora,PRJNA269992
SRR1812168,adult,Acropora hyacinthus,PRJNA274410
SRR1812169,adult,Acropora hyacinthus,PRJNA274410
SRR1812178,adult,Acropora hyacinthus,PRJNA274410
SRR1812179,adult,Acropora hyacinthus,PRJNA274410
SRR1812188,adult,Acropora hyacinthus,PRJNA274410
SRR1812189,adult,Acropora hyacinthus,PRJNA274410
SRR1812198,adult,Acropora hyacinthus,PRJNA274410
SRR1812199,adult,Acropora hyacinthus,PRJNA274410
SRR1812208,adult,Acropora hyacinthus,PRJNA274410
SRR1812209,adult,Acropora hyacinthus,PRJNA274410
SRR1812218,adult,Acropora hyacinthus,PRJNA274410
SRR1812219,adult,Acropora hyacinthus,PRJNA274410
SRR1812228,adult,Acropora hyacinthus,PRJNA274410
SRR1812229,adult,Acropora hyacinthus,PRJNA274410
SRR1812238,adult,Acropora hyacinthus,PRJNA274410
SRR1812239,adult,Acropora hyacinthus,PRJNA274410
SRR1812248,adult,Acropora hyacinthus,PRJNA274410
SRR1812249,adult,Acropora hyacinthus,PRJNA274410
SRR1812258,adult,Acropora hyacinthus,PRJNA274410
SRR1812259,adult,Acropora hyacinthus,PRJNA274410
SRR1812268,adult,Acropora hyacinthus,PRJNA274410
SRR1812269,adult,Acropora hyacinthus,PRJNA274410
SRR1812278,adult,Acropora hyacinthus,PRJNA274410
SRR1812279,adult,Acropora hyacinthus,PRJNA274410
SRR1812288,adult,Acropora hyacinthus,PRJNA274410
SRR1812289,adult,Acropora hyacinthus,PRJNA274410
SRR1812298,adult,Acropora hyacinthus,PRJNA274410
SRR1812299,adult,Acropora hyacinthus,PRJNA274410
SRR1812308,adult,Acropora hyacinthus,PRJNA274410
SRR1812309,adult,Acropora hyacinthus,PRJNA274410
SRR1842828,adult,Acropora millepora,PRJNA276913
SRR1853188,adult,Acropora millepora,PRJNA276913
SRR1853198,adult,Acropora millepora,PRJNA276913
SRR1853208,adult,Acropora millepora,PRJNA276913
SRR1853209,adult,Acropora millepora,PRJNA276913
SRR1853248,adult,Acropora millepora,PRJNA276913
SRR1853249,adult,Acropora millepora,PRJNA276913
SRR1929588,adult,Acropora millepora,PRJNA279192
SRR1929589,adult,Acropora millepora,PRJNA279192
SRR1929598,adult,Acropora millepora,PRJNA279192
SRR1929599,adult,Acropora millepora,PRJNA279192
SRR1929608,larva,Acropora millepora,PRJNA279192
SRR1929609,larva,Acropora millepora,PRJNA279192
SRR1929618,larva,Acropora millepora,PRJNA279192
SRR1929619,larva,Acropora millepora,PRJNA279192
SRR1929628,larva,Acropora millepora,PRJNA279192
SRR1929629,larva,Acropora millepora,PRJNA279192
SRR2086158,adult,Acropora millepora,PRJNA288809
SRR2086159,adult,Acropora millepora,PRJNA288809
SRR2912598,larva,Acropora millepora,PRJNA292574
SRR2912599,larva,Acropora millepora,PRJNA292574
SRR3095778,adult,Acropora aculeus,PRJNA308355
SRR3095779,adult,Acropora aculeus,PRJNA308355
SRR3106388,larva,Acropora digitifera,PRJNA309168
SRR3106389,larva,Acropora digitifera,PRJNA309168
SRR3106398,larva,Acropora digitifera,PRJNA309168
SRR3106399,larva,Acropora digitifera,PRJNA309168
SRR3169518,adult,Acropora gemmifera,PRJNA293100
SRR3169528,adult,Acropora gemmifera,PRJNA293100
SRR3169529,adult,Acropora gemmifera,PRJNA293100
SRR3169538,adult,Acropora gemmifera,PRJNA293100
SRR3169539,adult,Acropora gemmifera,PRJNA293100
SRR3182448,adult,Acropora gemmifera,PRJNA293100
SRR3182778,adult,Acropora gemmifera,PRJNA293100
SRR3182779,adult,Acropora gemmifera,PRJNA293100
SRR3182788,adult,Acropora gemmifera,PRJNA293100
SRR3182789,adult,Acropora gemmifera,PRJNA293100
SRR3316338,gamete,Acropora digitifera,PRJNA316795
SRR3316339,adult,Acropora digitifera,PRJNA316795
SRR401858,recruit,Acropora millepora,PRJNA149513
SRR401859,recruit,Acropora millepora,PRJNA149513
SRR4029958,adult,Acropora hyacinthus,PRJNA338455
SRR4029959,adult,Acropora hyacinthus,PRJNA338455
SRR4029968,adult,Acropora hyacinthus,PRJNA338455
SRR4029969,adult,Acropora hyacinthus,PRJNA338455
SRR4029978,adult,Acropora hyacinthus,PRJNA338455
SRR4029979,adult,Acropora hyacinthus,PRJNA338455
SRR4029988,adult,Acropora hyacinthus,PRJNA338455
SRR4029989,adult,Acropora hyacinthus,PRJNA338455
SRR4029998,adult,Acropora hyacinthus,PRJNA338455
SRR4029999,adult,Acropora hyacinthus,PRJNA338455
SRR5190738,adult,Acropora millepora,PRJNA362652
SRR5190739,adult,Acropora millepora,PRJNA362652
SRR5190748,adult,Acropora millepora,PRJNA362652
SRR5190749,adult,Acropora millepora,PRJNA362652
SRR5190758,adult,Acropora millepora,PRJNA362652
SRR5190759,adult,Acropora millepora,PRJNA362652
SRR5190768,adult,Acropora millepora,PRJNA362652
SRR5190769,adult,Acropora millepora,PRJNA362652
SRR5190778,adult,Acropora millepora,PRJNA362652
SRR5190779,adult,Acropora millepora,PRJNA362652
SRR5190788,adult,Acropora millepora,PRJNA362652
SRR5190789,adult,Acropora millepora,PRJNA362652
SRR5236068,adult,Acropora digitifera,PRJNA298496
SRR5236069,adult,Acropora digitifera,PRJNA298496
SRR5343288,larva,Acropora millepora,PRJNA379147
SRR5343289,larva,Acropora millepora,PRJNA379147
SRR5343298,larva,Acropora millepora,PRJNA379147
SRR5343299,larva,Acropora millepora,PRJNA379147
SRR5343308,larva,Acropora millepora,PRJNA379147
SRR5343309,larva,Acropora millepora,PRJNA379147
SRR5343318,larva,Acropora millepora,PRJNA379147
SRR5343319,larva,Acropora millepora,PRJNA379147
SRR5343328,larva,Acropora millepora,PRJNA379147
SRR5362798,adult,Acropora hyacinthus,PRJNA379450
SRR5362799,adult,Acropora hyacinthus,PRJNA379450
SRR5362808,adult,Acropora hyacinthus,PRJNA379450
SRR5362809,adult,Acropora hyacinthus,PRJNA379450
SRR5362818,adult,Acropora hyacinthus,PRJNA379450
SRR5362819,adult,Acropora hyacinthus,PRJNA379450
SRR5362828,adult,Acropora hyacinthus,PRJNA379450
SRR5367058,recruit,Acropora gemmifera,PRJNA380146
SRR5367059,recruit,Acropora gemmifera,PRJNA380146
SRR5374529,adult,Acropora millepora,PRJNA380267
SRR5374538,adult,Acropora millepora,PRJNA380267
SRR5374539,adult,Acropora millepora,PRJNA380267
SRR5374548,recruit,Acropora millepora,PRJNA380267
SRR5374549,recruit,Acropora millepora,PRJNA380267
SRR5374558,recruit,Acropora millepora,PRJNA380267
SRR5374559,recruit,Acropora millepora,PRJNA380267
SRR5374568,recruit,Acropora millepora,PRJNA380267
SRR5374569,recruit,Acropora millepora,PRJNA380267
SRR5378429,adult,Acropora millepora,PRJNA380267
SRR5569438,adult,Acropora palmata,PRJNA386795
SRR5569439,adult,Acropora palmata,PRJNA386795
SRR5569448,adult,Acropora palmata,PRJNA386795
SRR5569449,adult,Acropora palmata,PRJNA386795
SRR5934178,larva,Acropora digitifera,PRJNA398338
SRR5934179,larva,Acropora digitifera,PRJNA398338
SRR5934188,larva,Acropora digitifera,PRJNA398338
SRR5934189,larva,Acropora digitifera,PRJNA398338
SRR6064908,adult,Acropora hyacinthus,PRJNA411943
SRR6064909,adult,Acropora hyacinthus,PRJNA411943
SRR6064918,adult,Acropora hyacinthus,PRJNA411943
SRR6064919,adult,Acropora hyacinthus,PRJNA411943
SRR6064928,adult,Acropora hyacinthus,PRJNA411943
SRR6064929,adult,Acropora hyacinthus,PRJNA411943
SRR629089,adult,Acropora hyacinthus,PRJNA177515
SRR629128,adult,Acropora hyacinthus,PRJNA177515
SRR629129,adult,Acropora hyacinthus,PRJNA177515
SRR629158,adult,Acropora hyacinthus,PRJNA177515
SRR629159,adult,Acropora hyacinthus,PRJNA177515
SRR6396378,adult,Acropora cervicornis,PRJNA423227
SRR6396379,adult,Acropora cervicornis,PRJNA423227
SRR7347328,adult,Acropora tenuis,PRJNA476311
SRR7347329,adult,Acropora tenuis,PRJNA476311
SRR7347338,adult,Acropora tenuis,PRJNA476311
SRR7347339,adult,Acropora tenuis,PRJNA476311
SRR7347348,adult,Acropora tenuis,PRJNA476311
SRR7347349,adult,Acropora tenuis,PRJNA476311
SRR7347358,adult,Acropora tenuis,PRJNA476311
SRR7347359,adult,Acropora tenuis,PRJNA476311
SRR835878,adult,Acropora millepora,PRJNA200542
SRR835879,adult,Acropora millepora,PRJNA200542
SRR835888,adult,Acropora millepora,PRJNA200542
SRR835889,adult,Acropora millepora,PRJNA200542
SRR3622488,adult,Acropora millepora,PRJNA319662
SRR3622490,adult,Acropora millepora,PRJNA319662
SRR3622491,adult,Acropora millepora,PRJNA319662
SRR3622493,adult,Acropora millepora,PRJNA319662
SRR3622496,adult,Acropora millepora,PRJNA319662
SRR3622499,adult,Acropora millepora,PRJNA319662
SRR3622503,adult,Acropora millepora,PRJNA319662
SRR3622506,adult,Acropora millepora,PRJNA319662
SRR3622509,adult,Acropora millepora,PRJNA319662
SRR3622512,adult,Acropora millepora,PRJNA319662
SRR3622513,adult,Acropora millepora,PRJNA319662
SRR3622516,adult,Acropora millepora,PRJNA319662
SRR3622519,adult,Acropora millepora,PRJNA319662
SRR3622522,adult,Acropora millepora,PRJNA319662
SRR3622526,adult,Acropora millepora,PRJNA319662
SRR3622529,adult,Acropora millepora,PRJNA319662
SRR3622532,adult,Acropora millepora,PRJNA319662
SRR3622536,adult,Acropora millepora,PRJNA319662
SRR3622539,adult,Acropora millepora,PRJNA319662
SRR3622542,adult,Acropora millepora,PRJNA319662
SRR3622546,adult,Acropora millepora,PRJNA319662
SRR3622545,adult,Acropora millepora,PRJNA319662
SRR3622549,adult,Acropora millepora,PRJNA319662
SRR3622553,adult,Acropora millepora,PRJNA319662
SRR3622555,adult,Acropora millepora,PRJNA319662
SRR3622559,adult,Acropora millepora,PRJNA319662
SRR3622578,adult,Acropora millepora,PRJNA319662
SRR3622588,adult,Acropora millepora,PRJNA319662
SRR3622592,adult,Acropora millepora,PRJNA319662
SRR3622595,adult,Acropora millepora,PRJNA319662
SRR3622598,adult,Acropora millepora,PRJNA319662
SRR3622603,adult,Acropora millepora,PRJNA319662
SRR3622606,adult,Acropora millepora,PRJNA319662
SRR3622609,adult,Acropora millepora,PRJNA319662
SRR3622612,adult,Acropora millepora,PRJNA319662
SRR3622613,adult,Acropora millepora,PRJNA319662
SRR3622616,adult,Acropora millepora,PRJNA319662
SRR3622619,adult,Acropora millepora,PRJNA319662
SRR3622622,adult,Acropora millepora,PRJNA319662
SRR3622626,adult,Acropora millepora,PRJNA319662
SRR3622629,adult,Acropora millepora,PRJNA319662
SRR3622632,adult,Acropora millepora,PRJNA319662
SRR3622636,adult,Acropora millepora,PRJNA319662
SRR3622639,adult,Acropora millepora,PRJNA319662
SRR3622642,adult,Acropora millepora,PRJNA319662
SRR3622645,adult,Acropora millepora,PRJNA319662
SRR3622646,adult,Acropora millepora,PRJNA319662
SRR3622649,adult,Acropora millepora,PRJNA319662
SRR3622652,adult,Acropora millepora,PRJNA319662
SRR3622655,adult,Acropora millepora,PRJNA319662
SRR3622659,adult,Acropora millepora,PRJNA319662
SRR3622662,adult,Acropora millepora,PRJNA319662
SRR3622666,adult,Acropora millepora,PRJNA319662
SRR3622669,adult,Acropora millepora,PRJNA319662
SRR3622672,adult,Acropora millepora,PRJNA319662
SRR3622676,adult,Acropora millepora,PRJNA319662
SRR3622678,adult,Acropora millepora,PRJNA319662
SRR3622680,adult,Acropora millepora,PRJNA319662
SRR3622682,adult,Acropora millepora,PRJNA319662
SRR3622685,adult,Acropora millepora,PRJNA319662
SRR3622688,adult,Acropora millepora,PRJNA319662
SRR3622692,adult,Acropora millepora,PRJNA319662
SRR3622695,adult,Acropora millepora,PRJNA319662
SRR3622698,adult,Acropora millepora,PRJNA319662
SRR3622702,adult,Acropora millepora,PRJNA319662
SRR3622705,adult,Acropora millepora,PRJNA319662
SRR3622708,adult,Acropora millepora,PRJNA319662
SRR3622711,adult,Acropora millepora,PRJNA319662
SRR3622712,adult,Acropora millepora,PRJNA319662
SRR3622713,adult,Acropora millepora,PRJNA319662
SRR3622717,adult,Acropora millepora,PRJNA319662
SRR3622719,adult,Acropora millepora,PRJNA319662
SRR3622722,adult,Acropora millepora,PRJNA319662
SRR3622726,adult,Acropora millepora,PRJNA319662
SRR3622729,adult,Acropora millepora,PRJNA319662
SRR3622732,adult,Acropora millepora,PRJNA319662
SRR3622736,adult,Acropora millepora,PRJNA319662
SRR3622739,adult,Acropora millepora,PRJNA319662
SRR3622742,adult,Acropora millepora,PRJNA319662
SRR3622745,adult,Acropora millepora,PRJNA319662
SRR3622746,adult,Acropora millepora,PRJNA319662
SRR3622749,adult,Acropora millepora,PRJNA319662
SRR3622752,adult,Acropora millepora,PRJNA319662
SRR3622755,adult,Acropora millepora,PRJNA319662
SRR3622771,adult,Acropora millepora,PRJNA319662
SRR3622774,adult,Acropora millepora,PRJNA319662
SRR3622777,adult,Acropora millepora,PRJNA319662
SRR3622781,adult,Acropora millepora,PRJNA319662
SRR3622784,adult,Acropora millepora,PRJNA319662
SRR3622787,adult,Acropora millepora,PRJNA319662
SRR3622790,adult,Acropora millepora,PRJNA319662
SRR3622791,adult,Acropora millepora,PRJNA319662
SRR3622794,adult,Acropora millepora,PRJNA319662
SRR3622797,adult,Acropora millepora,PRJNA319662
SRR3622800,adult,Acropora millepora,PRJNA319662
SRR3622841,adult,Acropora millepora,PRJNA319662
SRR3622851,adult,Acropora millepora,PRJNA319662
SRR3622854,adult,Acropora millepora,PRJNA319662
SRR3622857,adult,Acropora millepora,PRJNA319662
SRR3622861,adult,Acropora millepora,PRJNA319662
SRR3622864,adult,Acropora millepora,PRJNA319662
SRR3622867,adult,Acropora millepora,PRJNA319662
SRR3622870,adult,Acropora millepora,PRJNA319662
SRR3622872,adult,Acropora millepora,PRJNA319662
SRR3622874,adult,Acropora millepora,PRJNA319662
SRR3622877,adult,Acropora millepora,PRJNA319662
SRR3622880,adult,Acropora millepora,PRJNA319662
SRR3622884,adult,Acropora millepora,PRJNA319662
SRR3622887,adult,Acropora millepora,PRJNA319662
SRR3622890,adult,Acropora millepora,PRJNA319662
SRR3622894,adult,Acropora millepora,PRJNA319662
SRR3622897,adult,Acropora millepora,PRJNA319662
SRR3622900,adult,Acropora millepora,PRJNA319662
SRR3622904,adult,Acropora millepora,PRJNA319662
SRR3622907,adult,Acropora millepora,PRJNA319662
SRR3622910,adult,Acropora millepora,PRJNA319662